Pos,Team,Played,Won,Drawn,Lost,GF,GA,GD,Points
1,Lincoln City,42,28,9,5,79,36,43,93
2,Cardiff City,42,24,10,8,77,43,34,82
3,Bolton Wanderers,43,19,16,8,64,45,19,73
4,Bradford City,42,21,8,13,52,46,6,71
5,Stockport County,41,20,10,11,61,50,11,70
6,Stevenage,42,19,10,13,44,43,1,67
7,Luton Town,42,18,10,14,59,51,8,64
8,Huddersfield Town,43,17,12,14,66,57,9,63
9,Plymouth Argyle,42,19,6,17,66,58,8,63
10,Reading,43,16,14,13,62,55,7,62
11,Wycombe Wanderers,43,16,12,15,63,51,12,60
12,Barnsley,41,14,13,14,63,65,-2,55
13,Wigan Athletic,43,14,13,16,49,56,-7,55
14,Mansfield Town,41,13,15,13,50,43,7,54
15,Doncaster Rovers,42,15,8,19,43,64,-21,53
16,Peterborough United,41,15,6,20,60,58,2,51
17,Leyton Orient,43,14,9,20,57,66,-9,51
18,Burton Albion,43,13,12,18,46,56,-10,51
19,Blackpool,43,14,9,20,51,65,-14,51
20,AFC Wimbledon,43,14,8,21,49,65,-16,50
21,Exeter City,43,12,11,20,47,55,-8,47
22,Rotherham United,42,9,10,23,36,65,-29,37
23,Port Vale,40,8,11,21,30,54,-24,35
24,Northampton Town,42,9,8,25,35,62,-27,35
