Home,Away
Brentford,Fulham
Chelsea,Manchester United
Leeds United,Wolverhampton Wanderers
Newcastle United,Bournemouth
Tottenham Hotspur,Brighton and Hove Albion
Aston Villa,Sunderland
Everton,Liverpool
Manchester City,Arsenal
Nottingham Forest,Burnley
Crystal Palace,West Ham United
Brighton and Hove Albion,Chelsea
Bournemouth,Leeds United
Burnley,Manchester City
Sunderland,Nottingham Forest
Arsenal,Newcastle United
Fulham,Aston Villa
Liverpool,Crystal Palace
West Ham United,Everton
Wolverhampton Wanderers,Tottenham Hotspur
Manchester United,Brentford
Leeds United,Burnley
Bournemouth,Crystal Palace
Arsenal,Fulham
Aston Villa,Tottenham Hotspur
Brentford,West Ham United
Newcastle United,Brighton and Hove Albion
Wolverhampton Wanderers,Sunderland
Manchester United,Liverpool
Chelsea,Nottingham Forest
Everton,Manchester City
Brighton and Hove Albion,Wolverhampton Wanderers
Burnley,Aston Villa
Crystal Palace,Everton
Fulham,Bournemouth
Liverpool,Chelsea
Manchester City,Brentford
Sunderland,Manchester United
Nottingham Forest,Newcastle United
West Ham United,Arsenal
Tottenham Hotspur,Leeds United
Bournemouth,Manchester City
Arsenal,Burnley
Aston Villa,Liverpool
Brentford,Crystal Palace
Chelsea,Tottenham Hotspur
Everton,Sunderland
Leeds United,Brighton and Hove Albion
Manchester United,Nottingham Forest
Newcastle United,West Ham United
Wolverhampton Wanderers,Fulham
Brighton and Hove Albion,Manchester United
Burnley,Wolverhampton Wanderers
Crystal Palace,Arsenal
Fulham,Newcastle United
Liverpool,Brentford
Manchester City,Aston Villa
Nottingham Forest,Bournemouth
Sunderland,Chelsea
Tottenham Hotspur,Everton
West Ham United,Leeds United
